_id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,undefined,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,undefined_1,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),undefined_2,Data Source,Announcement/More Information,Link,Latest Update,the_geom
601,Laebao (extension phase),Hydro,Planned,7.7,,,Laos,EDL (Laos),,,, ,Laos,Champasak,Paksong,,Mekong Mainstream - Lower,15.1775,106.22,"Actual location unknown, currently sited at locality in link/announcement", ,,"Ministry of Energy and Mines, Lao PDR", , ,,0101000020E6100000C3D32B65198E5A40B459F5B9DA5A2E40
602,Laem Chabang Wind Farm,Wind,Operational,200,2012,,Thailand,EGAT (Thailand),,,, ,Thailand,Chon Buri,Si Racha,,Coastal Rivers Rayong Chon Buri,13.0706,100.9, , ,,Wikipedia,https://www.windpowerengineering.com/mechanical/towers-construction/the-first-wind-turbine-towers-roll-off-the-line-thailand/, ,,0101000020E6100000840D4FAF94395940C0CFB87020242A40
603,Laem Khao Power Plant,Biomass,Unknown,10.4,1992,,Thailand,"Advance Power Conversion Co., Ltd.",,,, ,Thailand,Songkhla,Hat Yai,,Songkhla Lake,6.86055,100.572,"Actual location unknown, currently sited at locality in link/announcement", ,,Advance Power Conversion Co.,"Rice husk, eucalyptus bark and wood chips",http://www.apcon.co.th/wp-content/uploads/2019/04/APCON-presentation-R11.pdf,,0101000020E61000007F6ABC749324594015E63DCE34711B40
604,Laem Khao Power Plant,Biomass,Unknown,37.4,1994,,Thailand,"Advance Power Conversion Co., Ltd.",,,, ,Thailand,Chachoengsao,Sanam Chaikhet,,Chao Phraya-Ping,13.6309,101.429,"Actual location unknown, currently sited at locality in link/announcement", ,,Advance Power Conversion Co.,"Rice husk, eucalyptus bark and wood chips",http://www.apcon.co.th/wp-content/uploads/2019/04/APCON-presentation-R11.pdf,,0101000020E61000004850FC18735B5940FB7953910A432B40
605,Lai Chau (Thủy điện Lai Châu) AKA Thủy điện Nậm Nhùn,Hydro,Operational,1200,2015,,Vietnam,EVN,Vietnam,EVN,Vietnam,"Hydroproject and Power Construction No. 1 JSC, song Da Corp, Licogi, Lilama",Vietnam,Lai Châu,Nậm Nhùn,,Black-Li Xian,22.1381,102.984, ,4690000,,Wikipedia,https://data.mendeley.com/datasets/ht9k5p3vdb/1; https://en.evn.com.vn/d6/news/Lai-Chau-Hydropower-Plant-Project-6-167-329.aspx, ,03:31:20,0101000020E610000034A2B437F8BE5940B398D87C5C233640
606,Laiza (Laza),Hydro,Postponed,2800,2025,,China,State Power Investment Corporation (China),,,<Null>,,Myanmar,Kachin,Myitkyina,,Mali Hka,26.4645,97.7967, ,14720000,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xl; http://www.uachc.com/ucan/node/242.aspx, ,03:31:20,0101000020E610000014ED2AA4FC725840AD510FD1E8763A40
607,Lam Soon Wastewater Treatment for Energy Generation,Waste,Unknown,0.952,,,Thailand,Lam Soon (Thailand) PCL,,,, ,Thailand,Trang,Sikao,,Coastal Rivers Krabi,7.70976,99.3204, , ,,UNFCCC,Biogas from wastewater from palm oil production,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1293729441.79/view,,0101000020E61000002315C61682D45840B0E76B96CBD61E40
608,Lampang Solar Farm,Solar,Operational,101.25,2016,,Thailand,"EA Solar Lampang Co., Ltd.",,,Finland,Pöyry,Thailand,Lampang,Muang Lampang,,Wang,18.3954,99.4317, ,129053,,UNFCCC,https://www.pv-tech.org/news/engineering_contract_awarded_for_130mw_solar_plant_in_thailand; https://www.energyabsolute.co.th/lampang.asp,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1354266574.69/view,12:28:20,0101000020E6100000EFACDD76A1DB5840A1D634EF38653240
609,Lamtakong Jolabha Vadhana Power Plant Units 1-2,Hydro,Operational,500,2004,,Thailand,EGAT (Thailand),,,Italy,"Vianini Lavori, Dragados, Nawarat Patanakarn",Thailand,Nakhon Ratchasima,Sikhiu,,Mun-Chi,14.8652,101.56, , ,,Electricity Generating Authority of Thailand,https://www.sdcem.com/project/lamtakong-hydro-power-plant/; https://www.egat.co.th/en/news-announcement/news-release/lamtakong-jolabha-vadhana-power-plant-unit-4-is-synchronized-to-the-grid; https://data.mendeley.com/datasets/ht9k5p3vdb/1; https://data.mendeley.com/datasets/ht9k5p3vdb/1, https://www.egat.co.th/en/information/power-plants-and-dams?view=article&id=46;,03:31:20,0101000020E6100000B9FC87F4DB6359407B4E7ADFF8BA2D40
610,Lamtakong Jolabha Vadhana Power Plant Units 3-4,Hydro,Operational,500,2019,,Thailand,EGAT (Thailand),,,Italy,"Vianini Lavori, Dragados, Nawarat Patanakarn",Thailand,Nakhon Ratchasima,Sikhiu,,Mun-Chi,14.865,101.56, , ,,Electricity Generating Authority of Thailand,https://www.egat.co.th/en/news-announcement/news-release/lamtakong-jolabha-vadhana-power-plant-unit-4-is-synchronized-to-the-grid; https://www.sdcem.com/project/lamtakong-hydro-power-plant/,https://www.egat.co.th/en/information/power-plants-and-dams?view=article&id=46,03:31:20,0101000020E6100000B9FC87F4DB6359407B14AE47E1BA2D40
611,Lamtakong Wind Turbines Phase 1,Wind,Operational,2.5,2009,,Thailand,EGAT (Thailand),,,, ,Thailand,Nakhon Ratchasima,Sikhiu,,Mun-Chi,14.8001,101.558, , ,,Electricity Generating Authority of Thailand,http://www.icue2018.ait.ac.th/proceedings/files/EGAT-WIND_Promthep.pdf; https://www.egat.co.th/en/information/power-plants-and-dams?view=article&id=46,https://www.egat.co.th/en/information/power-plants-and-dams?view=article&id=47,09:23:20,0101000020E610000024287E8CB9635940280F0BB5A6992D40
612,Lamtakong Wind Turbines Phase 2,Wind,Operational,24,2018,,Thailand,EGAT (Thailand),,,China,Power Construction Corp (China),Thailand,Nakhon Ratchasima,Sikhiu,,Mun-Chi,14.8167,101.562, , ,,Renewables Now,http://www.icue2018.ait.ac.th/proceedings/files/EGAT-WIND_Promthep.pdf; https://www.egat.co.th/en/information/power-plants-and-dams?view=article&id=46,"https://renewablesnow.com/news/Power Construction Corp, China-bags-24-mw-wind-job-in-thailand-539047/",09:23:20,0101000020E6100000728A8EE4F2635940A73FFB9122A22D40
613,Lan Krabue,Gas,Operational,150,1982,,Thailand,EGAT (Thailand),,,, ,Thailand,Kamphaeng Phet,Lan Krabu,,Yom,16.6308,99.8705, , ,,Wikipedia,https://www.egat.co.th/en/index.php?option=com_content&view=article&id=44&Itemid=117, ,,0101000020E6100000087767EDB6F758408CF84ECC7AA13040
614,Lao Chai,Hydro,Operational,2.4,2013,,Vietnam,Hong Ngoc Co. Ltd,,,, ,Vietnam,Lào Cai,Sa Pa,,Red Mainstem and Delta,22.31,103.86, , ,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/lao-chai-Hydropower, ,,0101000020E61000002575029A08F759408FC2F5285C4F3640
615,Lap Vo Rice Husk Power Plant (Nhà máy điện đốt trấu Lấp Vò),Biomass,Operational,10,,,Vietnam,"Duy Phat Electricity Joint Stock
Company (Vietnam), Investment and Trade Consultancy
Company Limited (INTRACO - Vietnam)
",Germany,RWE Power Aktiengesellschaft,, ,Vietnam,Đồng Tháp,Lấp Vò,,Vietnam Mekong Delta,10.3494,105.576, ,80000,,CDM,https://plo.vn/kinh-te/dong-thap-xay-nha-may-nhiet-dien-dot-trau-10-mw-261708.html,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1268324091.74/view,12:21:20,0101000020E6100000F7E461A1D6645A4017D4B7CCE9B22440
